How well or badly do you think the government is handling the following issues? Britain's exit from the EU,2019-06-24,2019-07-01,2019-07-10,2019-07-17,2019-07-22,2019-07-30,2019-08-06,2019-08-11,2019-08-19,2019-08-27,2019-09-02,2019-09-09,2019-09-17,2019-09-23,2019-10-01,2019-10-06,2019-10-14,2019-10-22,2019-10-28,2019-11-04,2019-11-12,2019-11-18,2019-11-26,2019-12-01,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-09,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-18,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-22,2020-04-27,2020-05-06,2020-05-10,2020-05-18,2020-05-25,2020-06-02,2020-06-08,2020-06-16,2020-06-22,2020-06-30,2020-07-08,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-23,2020-09-30,2020-10-05,2020-10-13,2020-10-20,2020-10-26,2020-11-02,2020-11-09,2020-11-15,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-20,2020-12-28,2021-01-05,2021-01-11,2021-01-20,2021-01-27,2021-02-01,2021-02-09,2021-02-15,2021-02-22,2021-03-01,2021-03-09,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-28,2021-05-05,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-18,2021-08-23,2021-08-29,2021-09-06,2021-09-12,2021-09-19,2021-09-26,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-07,2021-11-15,2021-11-22,2021-11-29,2021-12-05,2021-12-13,2021-12-20,2021-12-27,2022-01-02,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-06,2022-02-13,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-20,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-24,2022-05-02,2022-05-08,2022-05-16,2022-05-22,2022-05-29,2022-06-06,2022-06-13,2022-06-19,2022-06-27,2022-07-03,2022-07-11,2022-07-17,2022-07-25,2022-07-31,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-25,2022-10-02,2022-10-09,2022-10-17,2022-10-23,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26,2023-01-01,2023-01-09,2023-01-15,2023-01-23,2023-01-30,2023-02-06,2023-02-13,2023-02-20,2023-02-26,2023-03-06,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-21,2023-05-28,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-03,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28,2023-09-04,2023-09-11,2023-09-18,2023-09-25,2023-10-02,2023-10-09,2023-10-16,2023-10-23,2023-10-30,2023-11-06,2023-11-13,2023-11-20,2023-11-27,2023-12-04,2023-12-11,2023-12-18,2023-12-24,2024-01-01,2024-01-07,2024-01-15,2024-01-22,2024-01-29,2024-02-05,2024-02-11,2024-02-19,2024-02-26,2024-03-04
Well,2%,3%,4%,4%,2%,2%,4%,6%,3%,6%,5%,3%,3%,3%,3%,4%,5%,8%,6%,6%,7%,8%,7%,7%,12%,15%,14%,15%,17%,15%,20%,19%,19%,19%,20%,17%,22%,19%,24%,23%,22%,23%,21%,18%,23%,21%,17%,15%,13%,13%,16%,14%,14%,14%,16%,12%,13%,15%,12%,13%,13%,13%,11%,12%,12%,10%,10%,9%,10%,10%,13%,10%,11%,11%,8%,8%,7%,10%,19%,20%,20%,16%,16%,17%,19%,17%,20%,19%,18%,17%,22%,20%,22%,19%,20%,22%,21%,22%,18%,18%,21%,21%,17%,18%,17%,18%,20%,15%,17%,16%,16%,15%,15%,13%,12%,14%,14%,10%,12%,12%,13%,12%,12%,13%,10%,12%,9%,12%,16%,12%,12%,15%,12%,15%,13%,13%,13%,12%,13%,14%,17%,14%,14%,17%,15%,14%,13%,15%,14%,14%,11%,14%,13%,11%,11%,10%,12%,12%,14%,13%,13%,11%,13%,12%,12%,15%,12%,16%,12%,11%,11%,11%,10%,11%,11%,8%,11%,12%,10%,13%,10%,10%,8%,11%,10%,12%,10%,12%,8%,9%,10%,13%,14%,13%,13%,12%,12%,14%,13%,14%,11%,13%,12%,14%,12%,11%,11%,10%,11%,9%,11%,11%,11%,12%,9%,10%,11%,9%,12%,12%,9%,10%,11%,10%,13%,12%,13%,10%,12%,11%,10%,10%,11%,11%,11%,10%,12%,12%,13%,16%,13%,12%,10%
Badly,95%,93%,93%,94%,94%,94%,92%,92%,93%,91%,92%,93%,94%,93%,92%,93%,91%,86%,91%,91%,90%,87%,89%,89%,84%,76%,79%,78%,76%,78%,73%,72%,71%,70%,68%,74%,70%,69%,62%,64%,65%,63%,63%,69%,61%,66%,71%,71%,76%,78%,74%,78%,77%,75%,74%,76%,75%,76%,78%,77%,75%,78%,80%,82%,83%,81%,81%,82%,81%,80%,78%,80%,79%,80%,81%,83%,87%,83%,72%,73%,73%,77%,74%,76%,75%,76%,74%,73%,76%,76%,70%,74%,71%,74%,71%,71%,71%,71%,74%,75%,72%,70%,76%,75%,74%,76%,71%,78%,77%,78%,76%,79%,79%,81%,81%,80%,80%,84%,83%,85%,83%,82%,84%,81%,84%,81%,84%,82%,80%,82%,81%,79%,81%,77%,81%,82%,82%,83%,80%,79%,76%,80%,79%,78%,78%,80%,81%,79%,79%,78%,83%,80%,81%,84%,82%,84%,82%,83%,81%,83%,82%,82%,81%,82%,83%,81%,83%,78%,81%,82%,83%,83%,85%,81%,82%,85%,83%,83%,82%,81%,83%,85%,84%,83%,81%,82%,83%,80%,86%,85%,83%,81%,79%,79%,80%,83%,82%,80%,82%,81%,83%,81%,82%,79%,79%,82%,83%,83%,83%,84%,83%,83%,84%,83%,85%,84%,82%,85%,81%,84%,86%,82%,83%,84%,81%,83%,80%,84%,82%,83%,84%,85%,81%,81%,81%,84%,82%,81%,81%,79%,82%,81%,84%
Don't know,3%,4%,3%,1%,4%,3%,5%,2%,4%,3%,3%,4%,3%,4%,5%,4%,5%,6%,3%,3%,3%,5%,3%,4%,5%,9%,7%,7%,7%,8%,7%,10%,10%,12%,12%,10%,9%,12%,14%,14%,14%,14%,15%,12%,16%,13%,12%,14%,11%,9%,10%,8%,9%,11%,10%,12%,12%,9%,10%,10%,12%,9%,9%,7%,5%,9%,9%,9%,9%,10%,9%,10%,10%,10%,10%,8%,6%,7%,9%,6%,7%,7%,10%,6%,6%,6%,6%,8%,6%,7%,8%,6%,8%,7%,9%,7%,8%,7%,8%,7%,8%,10%,7%,7%,8%,6%,8%,7%,6%,6%,8%,6%,5%,6%,7%,6%,5%,6%,5%,3%,4%,6%,4%,7%,6%,7%,7%,6%,4%,6%,7%,6%,7%,7%,6%,5%,5%,5%,7%,7%,7%,7%,6%,5%,7%,6%,6%,6%,7%,8%,7%,7%,6%,5%,7%,6%,6%,5%,5%,4%,5%,7%,6%,6%,5%,5%,6%,7%,7%,7%,6%,6%,5%,8%,7%,7%,5%,5%,8%,7%,7%,5%,7%,7%,9%,6%,6%,7%,6%,6%,7%,6%,7%,8%,6%,5%,6%,6%,6%,4%,6%,6%,6%,7%,8%,7%,7%,7%,6%,7%,6%,6%,5%,5%,6%,6%,6%,6%,6%,5%,5%,7%,7%,7%,6%,6%,7%,5%,6%,6%,6%,4%,8%,7%,7%,6%,6%,7%,6%,5%,5%,7%,7%
