[["Imports","Country","Year"],



[4609,Netherlands,2021],
[4133,France,2021],
[3898,Ireland,2021],
[3265,Spain,2021],
[3121,Germany,2021],
[3051,Italy,2021],
[2804,Belgium,2021],
[2117,Poland,2021],
[31207,United States,2021],
[1122,Denmark,2021],
