Partner Name,Year,Export (US$ Thousand)
 World,2015,19154299.02
Europe & Central Asia,2015,11040377.78
Ireland,2015,2904341.88
North America,2015,2786896.09
United States,2015,2382434.84
East Asia & Pacific,2015,2255887.72
France,2015,1718612.38
Germany,2015,1151300.8
Netherlands,2015,1108353.98
Middle East & North Africa,2015,1040327.0
Latin America & Caribbean,2015,860587.25
Spain,2015,740392.19
Sub-Saharan Africa,2015,554000.03
Australia,2015,450718.26
United Arab Emirates,2015,420904.92
