Partner Name,Year,Export (US$ Thousand)
 World,2018,20748630.15
Europe & Central Asia,2018,12033511.31
Ireland,2018,3234302.44
North America,2018,2857796.22
East Asia & Pacific,2018,2750547.71
United States,2018,2485074.28
France,2018,1585390.62
Germany,2018,1262536.98
Netherlands,2018,1214209.47
Middle East & North Africa,2018,1127757.68
Spain,2018,870941.29
Latin America & Caribbean,2018,862643.19
Australia,2018,552127.25
Singapore,2018,542446.92
Sub-Saharan Africa,2018,517463.61
