Partner Name,Year,Export (US$ Thousand)
 World,2020,18155102.2
Europe & Central Asia,2020,10903267.57
Ireland,2020,3093086.67
East Asia & Pacific,2020,2402446.83
North America,2020,2364498.1
United States,2020,1986863.65
France,2020,1275888.34
Germany,2020,1121665.26
Netherlands,2020,1040185.08
Middle East & North Africa,2020,918773.25
Latin America & Caribbean,2020,600982.35
Spain,2020,565254.07
Australia,2020,498510.89
Singapore,2020,474309.57
Poland,2020,434209.87
