Partner Name,Year,Export (US$ Thousand)
 World,2021,18975654.87
Europe & Central Asia,2021,10349187.94
East Asia & Pacific,2021,2762074.02
Ireland,2021,2640478.17
North America,2021,2588426.46
United States,2021,2177111.52
France,2021,1448232.06
Netherlands,2021,1166307.61
Middle East & North Africa,2021,1088640.78
Latin America & Caribbean,2021,999653.99
Germany,2021,848564.54
China,2021,535684.74
Spain,2021,506154.89
Australia,2021,502217.42
Sub-Saharan Africa,2021,500087.7
