Partner Name,Year,Import (US$ Thousand)
 World,2017,31608359.47
Europe & Central Asia,2017,24842045.37
France,2017,4127021.13
Netherlands,2017,3664708.16
Germany,2017,3522939.85
Ireland,2017,2821103.33
Italy,2017,2516357.33
East Asia & Pacific,2017,2440041.33
Belgium,2017,2171347.14
Latin America & Caribbean,2017,1869005.88
Poland,2017,1537383.11
Spain,2017,1477958.56
North America,2017,1259140.65
United States,2017,1049132.14
Sub-Saharan Africa,2017,851897.89
