Partner Name,Year,Export (US$ Thousand)
 World,2017,19397997.73
Europe & Central Asia,2017,11170437.2
Ireland,2017,2849709.4
North America,2017,2722837.45
East Asia & Pacific,2017,2594360.92
United States,2017,2366944.52
France,2017,1592450.54
Germany,2017,1213115.86
Netherlands,2017,1085885.07
Middle East & North Africa,2017,1032375.1
Latin America & Caribbean,2017,844890.77
Spain,2017,785638.34
Sub-Saharan Africa,2017,492351.85
Singapore,2017,476480.89
Australia,2017,471773.69
