Partner Name,Year,Import (US$ Thousand)
 World,2021,33841414.98
Europe & Central Asia,2021,26166480.21
France,2021,4166000.1
Netherlands,2021,3390999.97
Italy,2021,3128074.55
Germany,2021,3029524.64
Belgium,2021,2772362.43
East Asia & Pacific,2021,2727256.69
Ireland,2021,2370796.87
Latin America & Caribbean,2021,2232162.27
Poland,2021,1913736.46
Spain,2021,1666955.3
North America,2021,1348757.44
United States,2021,1107006.98
Sub-Saharan Africa,2021,823231.09
