Partner Name,Year,Import (US$ Thousand)
 World,2015,32495894.8
Europe & Central Asia,2015,25356633.05
France,2015,4286049.59
Netherlands,2015,3751879.46
Germany,2015,3505926.67
Ireland,2015,3196582.71
Italy,2015,2637621.67
East Asia & Pacific,2015,2489698.33
Belgium,2015,2207425.42
Latin America & Caribbean,2015,1965960.93
North America,2015,1467422.84
Spain,2015,1381249.96
Poland,2015,1232369.84
United States,2015,1188735.25
Thailand,2015,925773.5
