Partner Name,Year,Import (US$ Thousand)
 World,2020,34196806.39
Europe & Central Asia,2020,26999955.11
France,2020,4118990.64
Germany,2020,3730505.81
Netherlands,2020,3645773.65
Italy,2020,2941429.73
Ireland,2020,2885979.42
East Asia & Pacific,2020,2637294.5
Belgium,2020,2341667.75
Poland,2020,1946570.7
Latin America & Caribbean,2020,1936621.9
Spain,2020,1749344.94
North America,2020,1296946.38
United States,2020,1110030.71
Sub-Saharan Africa,2020,883231.0
