Partner Name,Year,Export (US$ Thousand)
 World,2019,20025798.74
Europe & Central Asia,2019,11369112.51
Ireland,2019,3011426.68
North America,2019,2775439.94
East Asia & Pacific,2019,2738551.11
United States,2019,2410926.5
France,2019,1470077.03
Germany,2019,1196842.36
Middle East & North Africa,2019,1107989.34
Netherlands,2019,1073354.85
Latin America & Caribbean,2019,840921.72
Spain,2019,811318.43
Australia,2019,530829.39
Sub-Saharan Africa,2019,517454.21
Singapore,2019,515212.37
