Partner Name,Year,Import (US$ Thousand)
 World,2016,30574626.32
Europe & Central Asia,2016,23934914.72
France,2016,3787327.1
Netherlands,2016,3632288.02
Germany,2016,3419259.06
Ireland,2016,2926063.81
Italy,2016,2476676.02
East Asia & Pacific,2016,2396836.2
Belgium,2016,2169399.38
Latin America & Caribbean,2016,1914271.52
Spain,2016,1297791.12
Poland,2016,1281064.59
North America,2016,1153008.76
United States,2016,972815.7
Thailand,2016,861664.37
