Partner Name,Year,Import (US$ Thousand)
 World,2019,33345267.88
Europe & Central Asia,2019,26356350.91
France,2019,4266069.46
Germany,2019,3833722.46
Netherlands,2019,3776542.99
Ireland,2019,2879827.67
Italy,2019,2797569.65
East Asia & Pacific,2019,2615176.59
Belgium,2019,2270848.5
Latin America & Caribbean,2019,1913140.34
Spain,2019,1640060.81
Poland,2019,1584324.92
North America,2019,1279235.89
United States,2019,1097533.65
Thailand,2019,916978.43
