Partner Name,Year,Export (US$ Thousand)
 World,2016,18461495.71
Europe & Central Asia,2016,10565018.39
Ireland,2016,2788146.8
North America,2016,2784434.86
United States,2016,2401822.44
East Asia & Pacific,2016,2308122.83
France,2016,1519029.15
Germany,2016,1140196.91
Middle East & North Africa,2016,983708.39
Netherlands,2016,975762.3
Latin America & Caribbean,2016,831236.65
Spain,2016,710628.93
Sub-Saharan Africa,2016,448301.91
Australia,2016,421079.36
Italy,2016,413015.06
