Partner Name,Year,Import (US$ Thousand)
 World,2018,33598109.42
Europe & Central Asia,2018,26332144.2
France,2018,4210785.2
Netherlands,2018,3727706.86
Germany,2018,3721362.89
Ireland,2018,2928160.7
Italy,2018,2759408.78
East Asia & Pacific,2018,2608647.48
Belgium,2018,2269271.42
Latin America & Caribbean,2018,1982088.1
Poland,2018,1666205.99
Spain,2018,1640174.26
North America,2018,1402970.29
United States,2018,1177547.73
Thailand,2018,894990.54
